sep=;
Time;Metric;name;Sample;Skipped;median;mean;Min;75%ile;90%ile;99%ile;99.9%ile;99.99%ile;max;
undefined;undefined;CommitEpilogue;10240;9.76 Mil;15 µs;18 µs;1 µs;22 µs;28 µs;76 µs;99 µs;126 µs;135 µs;
undefined;undefined;CommitFull;10240;9.76 Mil;28 ms;35 ms;127 µs;59 ms;89 ms;127 ms;132 ms;133 ms;133 ms;
undefined;undefined;CommitPrologue;10240;9.77 Mil;1 µs;0 µs;0 µs;1 µs;1 µs;2 µs;3 µs;4 µs;4 µs;
undefined;undefined;CommitSend;10240;9.76 Mil;27 ms;35 ms;2 µs;59 ms;89 ms;127 ms;132 ms;133 ms;133 ms;
undefined;undefined;CommitStart;10240;9.77 Mil;20 µs;38 µs;3 µs;37 µs;63 µs;93 µs;1 ms;19 ms;25 ms;
undefined;undefined;CommitStore;10240;9.77 Mil;149 µs;162 µs;74 µs;176 µs;212 µs;316 µs;473 µs;12 ms;12 ms;
undefined;undefined;CommitTransition;10240;9.77 Mil;0 µs;0 µs;0 µs;0 µs;1 µs;1 µs;1 µs;1 µs;1 µs;
undefined;undefined;InAck;10240;9.76 Mil;28 ms;35 ms;173 µs;59 ms;89 ms;127 ms;132 ms;133 ms;133 ms;
undefined;undefined;InOut;64;74.42 K;359 µs;2 ms;187 µs;468 µs;558 µs;37 ms;42 ms;42 ms;42 ms;
undefined;undefined;MsgPreProc;10240;9.77 Mil;12 µs;13 µs;3 µs;15 µs;18 µs;55 µs;64 µs;67 µs;68 µs;
undefined;undefined;MsgProcessing;10240;9.77 Mil;11 µs;11 µs;1 µs;13 µs;17 µs;51 µs;62 µs;70 µs;83 µs;
undefined;undefined;MsgSend;64;923.37 K;3 µs;3 µs;1 µs;4 µs;5 µs;6 µs;6 µs;6 µs;6 µs;
undefined;undefined;MsgSendCore;64;923.37 K;2 µs;2 µs;1 µs;3 µs;4 µs;4 µs;5 µs;5 µs;5 µs;
undefined;undefined;TransactionLeg1;10240;9.77 Mil;57 µs;60 µs;18 µs;68 µs;78 µs;134 µs;257 µs;1 ms;8 ms;
undefined;undefined;TransactionLeg2;10240;9.77 Mil;2 µs;2 µs;0 µs;3 µs;3 µs;3 µs;4 µs;11 µs;39 µs;
undefined;undefined;TransactionLeg3;10240;9.77 Mil;1 µs;19 µs;0 µs;21 µs;31 µs;66 µs;1 ms;19 ms;25 ms;
